"activity","count","date"
"game",2454,"2023-01-30 06:00:38.297352+00"
"",3806,"2023-01-30 06:05:23.590052+00"
"code",5658,"2023-01-30 06:16:53.321856+00"
"break",196,"2023-01-30 05:19:46.133389+00"
"game",3313,"2023-01-29 22:59:18.432755+00"
"",1179,"2023-01-29 23:56:17.000234+00"
"code",3021,"2023-01-29 23:20:29.697668+00"
"break",1065,"2023-01-29 22:32:40.493719+00"
"code",2718,"2023-01-28 07:40:47.40243+00"
"learn",621,"2023-01-28 06:55:20.024922+00"
"",112,"2023-01-28 07:37:32.17901+00"
"break",5482,"2023-01-28 07:41:00.399093+00"
"game",12172,"2023-01-27 20:32:44.864164+00"
"learn",1841,"2023-01-27 01:31:26.108017+00"
"break",12253,"2023-01-27 23:59:59.285972+00"
"",279,"2023-01-27 19:14:56.869266+00"
"code",12393,"2023-01-27 21:06:10.024181+00"
"",536,"2023-01-26 09:05:19.370347+00"
"learn",1741,"2023-01-26 04:41:10.719581+00"
"code",6633,"2023-01-26 23:05:18.040511+00"
"break",9469,"2023-01-26 23:59:59.820598+00"
"game",4688,"2023-01-26 08:12:01.308364+00"
"game",8712,"2023-01-25 04:45:52.274033+00"
"break",2995,"2023-01-25 04:45:55.395442+00"
"code",5435,"2023-01-25 04:08:56.923131+00"
"meeting",1763,"2023-01-25 23:18:40.096342+00"
"",2004,"2023-01-25 21:01:48.106656+00"
"code",7891,"2023-01-24 23:25:45.235337+00"
"break",4266,"2023-01-24 23:45:25.460425+00"
"learn",3859,"2023-01-24 03:54:51.856633+00"
"meeting",6639,"2023-01-24 19:44:26.042516+00"
"game",9551,"2023-01-24 23:59:59.402369+00"
