"id","date","activity","cognito_uuid"
435108,"2023-04-10 02:15:27.014835+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435107,"2023-04-10 02:15:26.035553+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435106,"2023-04-10 02:15:25.061116+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435105,"2023-04-10 02:15:24.098218+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435104,"2023-04-10 02:15:23.04628+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435103,"2023-04-10 02:15:22.036939+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435102,"2023-04-10 02:15:21.055886+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435101,"2023-04-10 02:15:20.044141+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435100,"2023-04-10 02:15:19.014114+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435099,"2023-04-10 02:15:18.031552+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435098,"2023-04-10 02:15:17.068526+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435097,"2023-04-10 02:15:16.022776+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435096,"2023-04-10 02:15:15.043962+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435095,"2023-04-10 02:15:14.041388+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435094,"2023-04-10 02:15:13.028891+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435093,"2023-04-10 02:15:12.045582+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435092,"2023-04-10 02:15:11.030023+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435091,"2023-04-10 02:15:10.050314+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435090,"2023-04-10 02:15:09.093506+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435089,"2023-04-10 02:15:08.06808+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435088,"2023-04-10 02:15:07.037607+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435087,"2023-04-10 02:15:06.063537+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435086,"2023-04-10 02:15:05.056959+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435085,"2023-04-10 02:15:04.068773+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435084,"2023-04-10 02:15:03.043353+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435083,"2023-04-10 02:15:02.061934+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435082,"2023-04-10 02:15:01.064198+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435081,"2023-04-10 02:15:00.078825+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435080,"2023-04-10 02:14:59.042035+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435079,"2023-04-10 02:14:58.061183+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435078,"2023-04-10 02:14:56.967997+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435077,"2023-04-10 02:14:56.045224+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435076,"2023-04-10 02:14:55.060333+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435075,"2023-04-10 02:14:54.010728+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435074,"2023-04-10 02:14:53.066681+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435073,"2023-04-10 02:14:52.074524+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435072,"2023-04-10 02:14:51.034423+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435071,"2023-04-10 02:14:50.058199+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435070,"2023-04-10 02:14:49.060785+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435069,"2023-04-10 02:14:48.060228+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435068,"2023-04-10 02:14:47.05031+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435067,"2023-04-10 02:14:46.035094+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435066,"2023-04-10 02:14:45.076613+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435065,"2023-04-10 02:14:44.02238+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435064,"2023-04-10 02:14:43.088857+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435063,"2023-04-10 02:14:42.036267+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435062,"2023-04-10 02:14:41.030019+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435061,"2023-04-10 02:14:40.066562+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435060,"2023-04-10 02:14:39.031864+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435059,"2023-04-10 02:14:38.031474+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435058,"2023-04-10 02:14:37.076521+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435057,"2023-04-10 02:14:36.020806+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435056,"2023-04-10 02:14:35.035155+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435055,"2023-04-10 02:14:34.074976+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435054,"2023-04-10 02:14:33.052463+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435053,"2023-04-10 02:14:32.022271+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435052,"2023-04-10 02:14:31.048345+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435051,"2023-04-10 02:14:30.060338+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435050,"2023-04-10 02:14:29.051337+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435049,"2023-04-10 02:14:28.044814+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
435048,"2023-04-10 02:14:27.013845+00","Coding","daa38dbb-ee91-4898-b48d-61031c5965ed"
