"activity","count","date"
"",883,"2023-04-17 17:14:01.165776+00"
"testing",1,"2023-04-16 23:56:09.965251+00"
"",2,"2023-04-10 04:25:42.191744+00"
"Gaming",11426,"2023-04-10 07:14:52.789354+00"
"Break",3323,"2023-04-10 07:47:22.815496+00"
"Learning",2,"2023-04-10 02:01:26.505901+00"
"Coding",8816,"2023-04-10 08:20:45.803879+00"
"Break",336,"2023-04-09 22:45:05.371737+00"
"Gaming",20993,"2023-04-09 23:59:59.031113+00"
"",48,"2023-04-09 23:18:15.774824+00"
"Gaming",9928,"2023-04-08 04:53:26.147465+00"
"Break",3649,"2023-04-08 22:31:20.215164+00"
"",609,"2023-04-08 02:48:56.282766+00"
"Meeting",4,"2023-04-08 04:53:29.040063+00"
"Coding",7845,"2023-04-08 22:22:13.138334+00"
"Learning",2327,"2023-04-08 00:38:46.082178+00"
"Break",13723,"2023-04-07 23:03:48.0838+00"
"Coding",9792,"2023-04-07 20:28:12.128317+00"
"Tinkering ",3,"2023-04-07 17:51:24.047737+00"
"Working",4018,"2023-04-07 18:21:28.073998+00"
"Gaming",11602,"2023-04-07 23:33:49.072238+00"
"Meeting",5337,"2023-04-07 20:28:15.038121+00"
"",5,"2023-04-07 02:09:32.39321+00"
"Learning",1570,"2023-04-07 23:59:59.060706+00"
"Learning",1382,"2023-04-06 00:51:38.711979+00"
"Gaming",5047,"2023-04-06 02:17:04.379187+00"
"Meeting",13912,"2023-04-06 22:46:56.311143+00"
"Coding",880,"2023-04-06 16:42:06.346664+00"
"",2,"2023-04-06 00:52:53.396435+00"
"Break",12364,"2023-04-06 23:59:59.298234+00"
"Break",6945,"2023-04-05 21:02:17.211995+00"
"Gaming",10016,"2023-04-05 23:17:19.195982+00"
"Guitar",3,"2023-04-05 22:18:24.213158+00"
"",5,"2023-04-05 00:51:45.777329+00"
"Coding",8971,"2023-04-05 19:22:43.19722+00"
"Learning",5086,"2023-04-05 23:25:59.95238+00"
"Meeting",1930,"2023-04-05 16:50:46.160914+00"
"Working",10272,"2023-04-04 18:25:07.388058+00"
"Break",12002,"2023-04-04 23:59:59.432785+00"
"Coding",2220,"2023-04-04 02:51:51.490595+00"
"Learning",3972,"2023-04-04 01:41:17.086179+00"
"Meeting",8792,"2023-04-04 21:19:26.416384+00"
"Gaming",13410,"2023-04-04 19:17:20.46546+00"
"",17,"2023-04-04 02:14:48.868106+00"
"",3,"2023-04-03 00:27:50.354669+00"
"Meeting",3717,"2023-04-03 21:46:51.297941+00"
"Break",10467,"2023-04-03 22:47:41.394705+00"
"Guitar",2,"2023-04-03 00:27:51.451863+00"
"Working",349,"2023-04-03 23:59:59.406616+00"
"Gaming",18548,"2023-04-03 23:54:11.375484+00"
"Break",2483,"2023-04-02 02:27:58.278322+00"
"Gaming",6395,"2023-04-02 01:46:34.764811+00"
"Learning",6749,"2023-04-01 23:24:25.792713+00"
"Coding",9694,"2023-04-01 21:24:22.790383+00"
"Guitar",4,"2023-04-01 21:24:23.964897+00"
"Gaming",11046,"2023-04-01 23:59:59.772879+00"
"Break",1366,"2023-04-01 22:30:12.780723+00"
"",2,"2023-04-01 15:59:03.756678+00"
"",2,"2023-03-31 15:46:15.267377+00"
"Learning",1916,"2023-03-31 20:38:09.271877+00"
"Guitar",2,"2023-03-31 18:46:21.326214+00"
"Gaming",18052,"2023-03-31 23:17:58.284433+00"
"Meeting",1804,"2023-03-31 17:49:44.386007+00"
"Break",5976,"2023-03-31 23:23:26.369279+00"
"Tinkering ",5814,"2023-03-31 14:18:02.062839+00"
"Working",3238,"2023-03-30 19:03:32.092035+00"
"",218,"2023-03-30 15:49:24.111523+00"
